,DE,SHADE,APSM-jSO,CMA-ES,NRBO
Jajpur,0.2002,0.2005,0.1985,0.2005,0.2004
WQI,0.2083,0.2067,0.1979,0.1997,0.1874
Sample,0.2024,0.2010,0.1974,0.1996,0.1995
AKH,0.1993,0.2023,0.2053,0.1944,0.1987
