,DE,SHADE,APSM-jSO,CMA-ES,NRBO
DE,1.0000,0.9984,0.9975,0.9975,0.9984
SHADE,0.9984,1.0000,0.9946,0.9946,0.9969
APSM-jSO,0.9975,0.9946,1.0000,1.0000,0.9939
CMA-ES,0.9975,0.9946,1.0000,1.0000,0.9939
NRBO,0.9984,0.9969,0.9939,0.9939,1.0000
