Station,Latitude,Longitude,pH,EC,DO,F,Cl,NO3,SO4,PO4,U,CaH,MgH,HCO3,GWQI,LWQI,AWQI,RWQI
S34,20.62461667,86.09766667,6.8,573.0,1.9,0.97,59.9,28.125,32.0,0.74,1.6,40.0,20.0,100.0,45.94531531531532,47.05081800864774,46.97033685323724,45.94495821458859
S35,21.03048333,86.14818333,7.0,552.0,4.92,0.51,39.9,29.4,5.85,0.68,1.7,40.0,60.0,360.0,53.346891891891886,54.94687770426658,53.64104968378943,50.474284251078934
S36,20.99553333,86.15985,6.62,274.0,3.94,0.44,39.9,26.1,8.12,0.19,0.0,40.0,20.0,40.0,32.76129129129129,32.900253991801044,33.01646615364915,33.89325010510262
S37,20.94381667,86.15726667,6.89,382.0,5.78,0.5,29.9,30.975,5.14,0.32,0.0,60.0,0.0,160.0,35.08192192192192,36.44420965603836,35.57621207533896,38.065622110850946
S38,20.89946667,86.16598333,6.62,330.0,4.2,0.39,9.9,28.425,7.0,0.32,0.0,40.0,40.0,80.0,37.79711711711711,38.0489451281289,38.098961199103854,37.3894982069371
S39,20.6694,86.16818333,6.6,564.0,3.63,0.61,39.9,31.2,23.6,0.31,0.0,20.0,20.0,40.0,37.52076576576577,37.90291655646033,38.245349244903295,40.98824584110401
S40,21.0267,86.21438333,6.32,292.0,5.65,0.4,0.0,26.775,6.0,0.55,1.44,40.0,20.0,60.0,34.42439939939939,34.54646347456199,34.33931666056053,34.55231898132012
S41,20.9876,86.23216667,5.93,372.0,4.92,0.54,7.5,34.125,4.0,0.36,0.0,80.0,0.0,140.0,44.27657657657657,44.72470374110223,44.23035954149924,41.80577074739673
S42,20.93868333,86.21995,6.98,281.0,5.86,0.65,7.5,31.125,6.57,0.4,1.9,80.0,0.0,140.0,36.871006006006006,38.360549332669045,37.29586618557106,37.32031269545837
S43,20.89871667,86.2174,6.7,343.0,2.35,0.56,39.9,36.975,4.57,0.42,0.0,40.0,40.0,120.0,45.06399399399399,45.166975715419625,45.55059889673234,44.721870391125265
S44,20.6692,86.20618333,6.58,1251.0,2.02,0.53,259.9,35.625,45.37,0.95,1.8,140.0,40.0,260.0,67.13058558558558,67.50116804443361,66.37350096144917,65.48879813023592
S45,20.6243,86.21701667,6.89,992.0,3.62,1.26,149.9,46.125,33.0,0.87,0.0,120.0,40.0,80.0,64.91258258258259,66.64255502865205,65.97425763429835,59.006872663089666
S46,21.02721667,86.26601667,6.82,225.0,6.16,0.41,29.9,25.575,4.42,0.25,1.5,60.0,40.0,100.0,36.84477477477478,37.26522823323922,36.718063798774736,35.67821740610898
S47,20.97448333,86.27173333,7.0,322.0,5.89,1.02,69.9,31.425,6.5,0.25,1.1,20.0,80.0,60.0,49.29493993993995,50.08254141365475,50.01919448106922,47.088884984004345
S48,20.93548333,86.27463333,5.92,158.7,3.39,1.16,49.9,18.375,7.37,1.27,0.0,40.0,80.0,20.0,55.34153153153154,55.625388763578535,55.89189183561075,46.42595245733086
S49,20.8973,86.28166667,6.08,135.7,4.19,0.25,29.9,13.275,4.58,0.79,0.0,40.0,40.0,40.0,32.94313813813814,32.47843053359758,32.57837048227149,33.065878933894226
S50,20.83738333,86.2979,6.59,315.0,2.53,0.21,9.9,21.9,11.14,0.68,0.0,80.0,20.0,140.0,36.46653153153154,36.94958235468474,36.56231190199773,35.66078345515655
S51,20.79458333,86.27311667,6.76,319.0,1.92,0.61,39.9,16.5,10.0,0.59,1.5,20.0,40.0,60.0,36.01543543543544,36.77127096459619,36.580735442811886,37.04413123375111
S52,20.77428333,86.27925,6.92,427.0,4.27,0.62,9.9,31.425,12.14,0.14,16.5,60.0,40.0,160.0,48.63124624624625,48.5494737568521,48.631132708726,46.42758391361352
S53,20.71493333,86.29328333,6.89,967.0,3.56,0.65,159.9,28.35,52.85,0.84,0.0,40.0,40.0,60.0,45.57331831831832,45.83817889297816,46.12439238768388,49.96871894543352
S54,20.67443333,86.26948333,6.51,1878.0,4.81,0.26,299.9,52.5,101.6,2.15,0.0,60.0,100.0,280.0,78.98247747747749,76.96369596208818,78.25141484690718,73.00245285986635
S55,20.61195,86.28553333,6.62,325.0,1.24,0.27,49.98,29.25,8.5,1.22,0.0,40.0,0.0,60.0,30.78521921921922,30.580761899113064,31.092394554208376,33.46946520674941
S56,20.84525,86.32118333,7.17,215.0,4.77,0.96,4.9,21.3,5.85,0.19,0.0,40.0,20.0,60.0,36.422942942942946,36.195956838441276,35.39580406745776,36.728652608349925
S57,20.80298333,86.33376667,6.7,951.0,2.15,0.4,209.9,26.025,12.85,0.42,0.0,40.0,60.0,240.0,53.289459459459465,53.98086497492488,53.102633920707774,52.46847308439391
S58,20.71055,86.328,6.88,1042.0,3.08,0.74,120.0,46.35,80.7,0.26,1.6,60.0,40.0,280.0,64.15930930930931,63.64979570877434,64.50998134950342,64.01173429560517
S59,20.6794,86.33795,6.97,1192.0,1.17,0.79,269.9,20.025,32.6,0.56,0.0,20.0,80.0,220.0,59.360255255255254,60.68515565838077,59.81955571297094,60.2026423230274
S60,20.62745,86.32406667,6.55,1640.0,3.51,0.37,219.9,49.5,104.85,0.89,2.7,120.0,60.0,260.0,74.70897897897899,73.22582239319611,73.83501804835923,70.86133282254231
S61,20.84686667,86.39438333,7.21,401.0,4.44,0.9,49.9,39.225,15.87,0.24,0.0,60.0,60.0,100.0,53.5392942942943,51.42445555478424,51.50259135906184,49.500589167453654
S62,20.80596667,86.38706667,7.16,322.0,4.11,0.75,7.49,27.45,2.85,0.45,0.0,80.0,0.0,120.0,37.933975975975976,37.95822669933573,36.77768982058949,36.526780514232
S63,20.76586667,86.3948,7.23,515.0,2.28,0.73,39.9,30.525,7.37,1.36,0.0,40.0,60.0,80.0,48.135240240240236,46.31242859306465,46.1067211536199,46.62456520492466
S64,20.71771667,86.4011,7.57,898.0,4.22,1.01,129.9,38.475,8.57,0.58,2.1,60.0,0.0,280.0,57.52728228228229,52.619856592669215,57.52724165059422,55.19368354554953
S65,20.66218333,86.38838333,7.82,1074.0,3.7,1.44,37.48,19.2,9.0,0.6,0.0,80.0,40.0,320.0,69.31104504504503,64.0695306779692,69.3110825626707,62.28136056917532
S66,20.62308333,86.38046667,6.59,862.0,1.47,0.24,74.9,31.425,45.42,0.96,1.2,60.0,20.0,220.0,47.19755255255256,47.14272973752249,47.23715326286546,48.97977572904006
S67,20.80445,86.45355,6.52,658.0,2.32,0.2,49.9,22.875,18.8,1.43,0.0,20.0,80.0,80.0,43.89471471471471,43.71874201170246,44.09247191138704,44.826429081387936
S68,20.76181667,86.44278333,6.87,672.0,3.52,0.81,79.9,33.975,22.8,0.31,0.0,40.0,40.0,80.0,46.75837837837838,47.72542516314325,47.65404392264924,47.3652950503703
S69,20.7182,86.46816667,7.45,1088.0,3.93,1.68,57.48,32.4,33.14,0.951,0.0,20.0,20.0,200.0,62.28628528528529,60.497111671250174,58.769367333446965,59.92479651435911
S70,20.85373333,86.50108333,6.81,1283.0,3.34,0.52,179.9,28.125,91.2,3.27,0.0,100.0,40.0,240.0,60.01708708708709,60.22207968297965,60.39683743913771,62.948535366331136
S71,20.79891667,86.58848333,6.92,1136.0,3.71,1.1,64.9,31.05,44.55,0.45,0.0,60.0,60.0,320.0,67.09321321321322,70.01162061660129,68.59562788103162,63.61538839301854
S72,20.76485,86.50508333,7.08,835.0,1.32,0.42,99.9,30.975,35.25,0.12,0.0,40.0,40.0,220.0,48.59403903903904,48.14378206693851,48.05296565905135,49.72213001395492
S73,20.70836667,86.51313333,7.04,3000.0,1.07,0.39,239.9,44.475,98.5,2.05,0.0,60.0,100.0,360.0,85.02481981981983,87.33123381579469,85.63693101105297,73.92126124742055
S74,20.80686667,86.55386667,7.13,1002.0,3.86,0.33,34.9,37.275,56.85,0.17,1.2,100.0,20.0,180.0,48.55815315315316,47.61186366353399,48.55808363417799,50.85548221911147
