Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
84,2.8897,4.1177,2.4333,6.9936,3.7268,3.2297,2.0901
85,4.7542,5.7209,7.2750,7.9491,0.4740,8.5241,3.1440
86,1.9939,0.9286,6.1513,5.3315,0.5776,0.3982,0.6725
87,4.8679,0.0275,11.5492,0.1814,6.6227,7.2380,5.0145
88,1.4333,1.5943,0.7957,3.1781,1.6013,0.9407,1.3232
89,2.0284,1.9805,0.1811,1.1730,1.8536,1.0165,1.3147
90,6.3894,12.1587,2.5512,9.3151,10.0980,8.2309,8.1103
91,9.9731,1.7325,10.3061,2.9671,4.0740,3.0218,5.3782
92,18.2336,2.1218,9.4917,11.4175,8.9999,5.9157,9.4086
93,4.4517,0.2046,2.1751,2.5320,1.7855,1.1065,0.5333
94,13.4155,13.6641,15.7847,4.0289,7.9223,14.7435,11.6068
95,3.7701,2.3516,5.7409,1.2310,0.3893,8.8145,0.5021
96,9.8882,3.6500,0.2024,0.4696,4.0838,5.5359,2.6398
97,1.3175,1.2489,0.7834,3.3267,1.2048,4.0441,1.7158
98,1.9284,1.8805,0.2811,1.0730,1.7536,0.9165,1.2147
99,3.2373,3.1797,2.9991,11.6497,4.2632,8.2582,5.5728
100,6.3267,8.0633,3.2789,7.9006,15.5946,8.0453,8.1874
101,2.3162,11.4002,3.5050,1.1024,9.9395,3.6428,4.9457
102,7.8659,4.5255,5.6435,7.0899,4.7001,5.8528,5.9540
103,18.6348,11.1949,11.9701,13.9082,10.9751,13.4003,13.3700
104,4.9777,5.6145,3.8558,0.2782,0.4537,2.9235,0.2018
105,2.1259,5.5278,2.9246,20.7067,4.2629,4.2031,4.8894
106,2.9066,6.9404,1.5411,4.2138,12.7258,1.7738,3.5019
107,1.1292,4.8974,1.0906,3.7476,1.1380,0.1070,1.6525
108,0.7837,0.7952,0.6025,7.2383,0.4949,5.9516,2.4211
109,14.6595,9.1270,11.0755,7.7551,6.3570,9.5358,9.7786
110,1.8233,3.2135,0.5428,5.0253,2.2083,2.0090,0.1796
111,6.6179,10.5276,7.8381,5.4031,8.4894,8.2021,7.8427
112,0.5615,4.4845,1.7346,6.0745,2.1636,5.8577,3.4573
113,3.4229,8.1097,7.2387,0.3926,1.8201,5.9912,4.4954
114,1.9988,9.2474,0.8831,9.6612,7.8292,3.5729,5.5126
115,5.6978,22.2267,16.3300,3.4370,22.1452,14.2719,13.9908
116,0.9482,6.4589,1.2842,4.0836,6.9629,0.0874,2.8399
117,7.5248,7.4418,6.1615,14.1171,7.2158,12.4533,9.1304
118,7.3078,0.1355,8.4261,2.1944,1.9795,3.6481,3.9246
119,0.2272,3.0674,1.2068,0.1456,6.3940,2.5054,2.2480
120,6.6080,4.8901,4.3067,9.5684,1.2936,3.1619,1.0913
121,13.5192,12.4360,1.6001,6.8843,3.4031,1.5563,3.7966
122,1.8981,1.5032,5.2670,5.6431,1.3387,5.9753,1.1813
123,2.6370,7.5134,6.0433,10.0693,11.6292,11.2444,8.1522
124,1.4330,1.5655,0.7880,3.2837,1.6368,1.3477,1.4097
125,1.9784,1.9305,0.2311,1.1233,1.8036,0.9665,1.2648
126,19.4226,23.9271,19.6211,25.3861,23.2784,22.8391,22.3926
127,0.8935,7.9408,0.3974,1.0641,10.3812,2.6768,2.6500
128,6.4997,13.0310,10.1170,12.0510,5.8347,6.2114,6.7301
129,18.1634,6.1775,12.5890,0.1346,9.8861,14.2701,10.1974
130,8.0771,2.5565,7.3621,2.1687,3.7208,6.1149,4.2990
131,4.9523,15.4314,19.0699,4.2241,16.1362,8.4341,8.2745
132,1.4863,2.3863,1.4376,3.2048,1.5437,1.9008,1.0011
133,8.7116,12.8593,10.9211,6.4845,10.7259,9.7235,9.9038
134,0.9284,8.7864,1.2811,0.0732,7.2844,0.0835,2.7296
135,9.1293,13.3282,12.4990,9.0726,13.8818,11.3926,11.5427
136,5.5884,16.4961,8.6157,0.0583,14.4621,7.8943,8.8481
137,6.0965,1.2553,1.6728,9.8967,1.4391,1.8700,2.2576
138,15.3415,5.1409,12.1726,11.6250,6.3697,13.3104,10.6759
139,11.0061,6.8826,7.7093,8.8035,6.2943,8.8529,8.2688
140,5.3743,9.1381,11.8876,10.6821,12.0751,13.0272,10.3351
141,2.2282,14.2556,0.5903,0.6091,12.1260,8.2838,6.1252
142,3.8873,5.7437,1.2424,8.0639,4.1262,3.4037,0.2067
143,1.2516,5.4319,3.4611,2.1049,0.1352,2.2631,2.4387
144,26.9494,14.6665,13.0129,8.1056,12.8933,14.5065,15.0842
145,0.0155,8.9874,15.3861,14.2106,13.9595,13.0904,10.8854
146,9.2302,18.2424,14.6146,0.1850,12.6943,13.9717,8.2719
147,6.2436,6.4614,1.8633,0.3546,0.9772,9.1585,0.7313
148,8.4076,8.3976,6.0671,4.4198,5.6281,0.9804,5.3538
149,2.9698,2.0513,2.0860,2.9167,7.9523,2.3922,2.6078
150,4.7180,2.9558,1.8162,8.5481,7.4269,9.5599,5.8169
151,3.1516,7.2993,5.3611,0.3024,5.1659,4.1635,4.2410
152,3.5416,7.6893,5.7511,3.1437,5.5559,4.5535,5.0362
153,10.8980,12.5839,2.1639,9.2721,10.5124,8.4093,8.9780
154,8.1115,5.9401,8.7894,10.2940,14.4286,13.2235,10.1114
155,13.4051,9.5069,6.9735,4.7457,7.7044,7.2337,8.2904
