Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
47.8700,43.3776,31.5520,37.5680,50.2772,40.3946,38.3560,40.2590
3.3400,4.8025,6.1714,2.8024,7.0119,6.7346,4.6659,5.3599
2.6300,4.5879,4.6086,2.3449,3.4235,4.6015,3.5768,3.8604
55.9900,60.4389,62.1499,59.3720,67.6747,65.9363,65.5085,63.4863
65.3900,55.1574,62.8483,56.5286,63.6253,63.0165,61.5083,60.4142
49.2700,43.8878,56.7753,47.2498,56.9618,54.5652,52.1073,51.8787
51.6500,48.7603,55.7677,49.2167,58.6436,55.3768,54.8797,53.7401
43.1700,38.4158,37.4491,35.8950,51.1191,42.6960,34.6459,40.0260
11.9500,13.9439,12.8786,18.1013,6.6185,12.5276,11.5518,12.6225
39.4100,34.5421,39.4375,27.8608,39.5914,32.7873,32.1720,34.3955
3.1300,4.5633,4.7243,2.3343,6.3081,4.7313,4.0707,4.4532
2.4600,4.4884,4.4405,2.2789,3.6330,4.3136,3.4765,3.7747
57.2500,63.6394,69.4087,59.8012,66.5651,67.3480,65.4809,65.3603
66.8600,56.8869,65.1275,56.5539,63.8929,62.7860,63.8382,61.4818
38.0000,56.2336,40.1218,47.4917,49.4175,46.9999,43.9157,47.4086
48.9300,44.4783,49.1346,51.1051,51.4620,50.7155,50.0365,49.4633
40.4900,27.0745,26.8259,24.7053,36.4611,32.5677,25.7465,28.8832
12.3400,16.1101,9.9884,18.0809,11.1090,11.9507,3.5255,11.8379
12.9500,22.8382,16.6000,13.1524,13.4196,8.8662,18.4859,15.5898
3.2000,4.5175,4.4489,2.4166,6.5267,4.4048,7.2441,4.9158
2.5600,4.4884,4.4405,2.2789,3.6330,4.3136,3.4765,3.7747
57.2400,60.4773,60.4197,60.2391,68.8897,61.5032,65.4982,62.8128
74.3700,68.0433,66.3067,71.0911,66.4694,58.7754,66.3247,66.1826
62.1100,59.7938,50.7098,58.6050,63.2124,52.1705,58.4672,57.1643
63.9900,56.1241,59.4645,58.3465,56.9001,59.2899,58.1372,58.0360
39.6500,58.2848,50.8449,51.6201,53.5582,50.6251,53.0503,53.0200
46.0200,50.9977,40.4055,49.8758,46.2982,46.4737,43.0965,46.2218
54.4800,56.6059,48.9522,57.4046,33.7733,50.2171,50.2769,49.5906
11.4200,8.5134,18.3604,9.8789,15.6338,24.1458,13.1938,14.9219
3.3700,4.4992,8.2674,2.2794,7.1176,4.5080,3.4770,5.0225
59.5800,60.3637,60.3752,58.9775,66.8183,60.0749,65.5316,62.0011
75.0800,60.4205,65.9530,64.0045,67.3249,68.7230,65.5442,65.3014
69.9900,68.1667,73.2035,70.5328,64.9647,72.1983,71.9990,70.1696
66.3600,59.7421,55.8324,58.5219,60.9569,57.8706,58.1579,58.5173
59.9400,59.3785,55.4555,58.2054,53.8655,57.7764,54.0823,56.4827
48.6900,45.2671,40.5803,41.4513,48.2974,46.8699,42.6988,44.1946
