Generation,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite
1,0.8945762279963744,0.8708134789445359,0.8763158867869673,0.8708134789445359,0.8708134789445359,0.8708134789445359
2,0.8945762279963744,0.8878063803007804,0.8763158867869673,0.8878063803007804,0.8878063803007804,0.8878063803007804
3,0.8945762279963744,0.8878063803007804,0.8854192596734423,0.8878063803007804,0.8878063803007804,0.8878063803007804
4,0.9053052714050649,0.8911975567286575,0.8854192596734423,0.8911975567286575,0.8911975567286575,0.8911975567286575
5,0.9053052714050649,0.9127770328306298,0.8854192596734423,0.9127770328306298,0.9127770328306298,0.9127770328306298
6,0.9053052714050649,0.9127770328306298,0.8854192596734423,0.9127770328306298,0.9127770328306298,0.9127770328306298
7,0.9053052714050649,0.9127770328306298,0.8854192596734423,0.9127770328306298,0.9127770328306298,0.9127770328306298
8,0.9053052714050649,0.9253613790780492,0.8867242859295473,0.9253613790780492,0.9253613790780492,0.9253613790780492
9,0.9144799238083097,0.9253613790780492,0.8941054943947434,0.9253613790780492,0.9253613790780492,0.9253613790780492
10,0.9144799238083097,0.9253613790780492,0.8941054943947434,0.9253613790780492,0.9253613790780492,0.9253613790780492
11,0.9189853028451671,0.9253613790780492,0.8941054943947434,0.9253613790780492,0.9253613790780492,0.9253613790780492
12,0.9189853028451671,0.9253613790780492,0.8952511266327448,0.9253613790780492,0.9253613790780492,0.9253613790780492
13,0.9189853028451671,0.9253613790780492,0.9011040073247375,0.9253613790780492,0.9253613790780492,0.9253613790780492
14,0.9189853028451671,0.9253613790780492,0.9213627111342926,0.9253613790780492,0.9253613790780492,0.9253613790780492
15,0.9189853028451671,0.9253613790780492,0.9213627111342926,0.9253613790780492,0.9253613790780492,0.9253613790780492
16,0.9189853028451671,0.9253613790780492,0.9213627111342926,0.9253613790780492,0.9253613790780492,0.9253613790780492
17,0.9189853028451671,0.9253613790780492,0.9213627111342926,0.9253613790780492,0.9253613790780492,0.9253613790780492
18,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9253613790780492,0.9253613790780492,0.9253613790780492
19,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9253613790780492,0.9253613790780492,0.9253613790780492
20,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9253613790780492,0.9253613790780492,0.9253613790780492
21,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9253613790780492,0.9253613790780492,0.9253613790780492
22,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9253613790780492,0.9253613790780492,0.9253613790780492
23,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9253613790780492,0.9253613790780492,0.9253613790780492
24,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
25,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
26,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
27,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
28,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
29,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
30,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
31,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
32,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
33,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
34,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
35,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9253613790780492,0.9253613790780492
36,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9273385683211677,0.9253613790780492
37,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9273385683211677,0.9253613790780492
38,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9273385683211677,0.9253613790780492
39,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9273385683211677,0.9253613790780492
40,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9273385683211677,0.9253613790780492
41,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9258354159990105,0.9273385683211677,0.9253613790780492
42,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9260111235087582,0.9273385683211677,0.9257072170053636
43,0.9262431790807828,0.9253613790780492,0.9213627111342926,0.9260111235087582,0.9273385683211677,0.9257072170053636
44,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9260111235087582,0.9273385683211677,0.9257072170053636
45,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9260111235087582,0.9273385683211677,0.9257072170053636
46,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9260111235087582,0.9273385683211677,0.9257072170053636
47,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9333968860518527,0.9273385683211677,0.9257072170053636
48,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9333968860518527,0.9273385683211677,0.9257072170053636
49,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9333968860518527,0.9273385683211677,0.9257072170053636
50,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9333968860518527,0.9273385683211677,0.9257072170053636
51,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9333968860518527,0.9273385683211677,0.9257072170053636
52,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9333968860518527,0.9273385683211677,0.9257072170053636
53,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9333968860518527,0.9273385683211677,0.9257072170053636
54,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9346645066171525,0.9273385683211677,0.9273015326197132
55,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9346645066171525,0.9273385683211677,0.9273015326197132
56,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9346645066171525,0.9273385683211677,0.9273015326197132
57,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9346645066171525,0.9273385683211677,0.9273015326197132
58,0.9262431790807828,0.9253613790780492,0.9227568412784108,0.9346645066171525,0.9273385683211677,0.9273015326197132
