Generation,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,Bayesian
1,0.34436194795739605,0.640822315428858,0.6563452145254399,0.640822315428858,0.640822315428858,0.640822315428858,0.6955718005583287
2,0.5109591392990804,0.7151430231258216,0.721634264512204,0.7151430231258216,0.7151430231258216,0.7151430231258216,0.7396360344575137
3,0.6385368613019045,0.7151430231258216,0.721634264512204,0.7151430231258216,0.7151430231258216,0.7151430231258216,0.7396360344575137
4,0.6618677380435996,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216,0.7396360344575137
5,0.6618677380435996,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216,0.7396360344575137
6,0.6946540579155613,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216,0.7396360344575137
7,0.723226674525207,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216,0.7396360344575137
8,0.723226674525207,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216,0.7396360344575137
9,0.723226674525207,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216,0.7396360344575137
10,0.723226674525207,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216,0.7396360344575137
11,0.7256712076729355,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216,0.7396360344575137
12,0.7256712076729355,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7385492130792505,0.7385492130792505,0.7396360344575137
13,0.7256712076729355,0.7151430231258216,0.7299819537007508,0.721139453896037,0.7385492130792505,0.7385492130792505,0.7396360344575137
14,0.7256712076729355,0.7151430231258216,0.7299819537007508,0.721139453896037,0.7385492130792505,0.7385492130792505,0.7396360344575137
15,0.7256712076729355,0.7151430231258216,0.7302738513630089,0.7278462134787456,0.7385492130792505,0.7385492130792505,0.7396360344575137
16,0.7256712076729355,0.7151430231258216,0.7302738513630089,0.7278462134787456,0.7385492130792505,0.7385492130792505,0.7396360344575137
17,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7335599368887837,0.7385492130792505,0.7385492130792505,0.7396360344575137
18,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7335599368887837,0.7385492130792505,0.7385492130792505,0.7396360344575137
19,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505,0.7418544428972451
20,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505,0.7418544428972451
21,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505,0.7418544428972451
22,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505,0.7418544428972451
23,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505,0.7418544428972451
24,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505,0.7418544428972451
25,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505,0.7418544428972451
26,0.7256712076729355,0.7497181036167974,0.7414639870475426,0.7427735020902388,0.7385492130792505,0.7385492130792505,0.7418544428972451
27,0.7256712076729355,0.7497181036167974,0.7414639870475426,0.7427735020902388,0.7418921204568161,0.7385492130792505,0.7418544428972451
28,0.7256712076729355,0.7497181036167974,0.7414639870475426,0.7427735020902388,0.7418921204568161,0.7385492130792505,0.7418544428972451
29,0.7260805541152967,0.7497181036167974,0.7414639870475426,0.7427735020902388,0.7418921204568161,0.7385492130792505,0.7418544428972451
30,0.7260805541152967,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505,0.7418544428972451
