Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
451,0.1931,0.2525,0.8280,0.4698,0.3344,0.4698,0.0191
452,0.8403,0.5803,0.5263,0.3702,0.1147,0.3702,0.2318
453,0.2848,0.3737,0.4707,0.0796,0.0573,0.0796,0.1316
454,1.4694,0.2562,1.8913,0.5452,0.5485,0.5452,0.3663
455,2.5638,0.5699,1.9608,2.4629,1.9932,2.4629,1.9856
456,0.0085,0.2317,0.3635,0.3244,0.2676,0.3244,0.2508
457,0.2578,0.4280,0.7711,0.0965,0.6370,0.0965,0.2426
458,1.7855,1.8633,0.2184,1.1737,2.0211,1.1737,1.3770
459,0.5157,0.0728,0.1445,0.6060,0.6100,0.6060,0.3681
460,1.1200,1.1937,1.7780,1.3954,1.6226,1.3954,1.4183
461,0.4477,0.1429,0.0438,0.6737,0.0537,0.6737,0.3119
462,0.4047,0.0201,0.6314,0.0798,0.3122,0.0798,0.1480
463,0.0989,0.0146,0.0673,0.0245,0.0474,0.0245,0.0074
464,0.0821,0.3860,0.3205,0.1138,0.1294,0.1138,0.0953
465,0.0851,0.4842,0.4931,0.0969,0.5337,0.0969,0.2160
466,0.3873,0.0754,1.2880,1.0886,0.2546,1.0886,0.6584
467,0.3220,0.0404,0.1622,0.0739,0.6143,0.0739,0.0615
468,0.5159,0.4044,0.4682,0.2973,0.7263,0.2973,0.0942
469,1.3790,0.0850,0.0031,0.4293,0.2602,0.4293,0.0466
470,3.5670,2.2387,2.6283,2.7860,1.4595,2.7860,2.5728
471,1.0473,0.2437,0.1007,0.4650,0.5808,0.4650,0.2505
472,0.2376,0.2613,0.5349,0.0941,0.3118,0.0941,0.0972
473,0.0857,0.4382,0.2335,0.0566,0.3967,0.0566,0.1054
474,0.3111,0.1470,0.0131,0.0592,0.5826,0.0592,0.0504
475,0.9194,0.6995,0.2104,0.0769,0.1430,0.0769,0.0011
476,0.7368,0.7908,1.2925,0.9786,0.4551,0.9786,0.5963
477,4.4094,1.0290,4.9499,4.7326,1.5976,4.7326,3.5394
478,2.2238,1.0218,2.2394,1.1850,0.4938,1.1850,1.4025
479,1.6149,0.2518,2.4885,0.3865,0.2593,0.3865,0.7451
480,4.4107,2.0833,3.8225,3.3811,2.2602,3.3811,3.2208
481,0.0799,0.2264,0.3688,0.2964,0.1026,0.2964,0.0701
482,0.0675,0.6757,0.3158,0.2482,0.9392,0.2482,0.2671
483,1.1296,0.3136,1.7805,1.1868,1.0045,1.1868,1.0984
484,0.2823,0.0009,0.5384,1.1336,0.4534,1.1336,0.3180
485,0.7863,1.0359,1.5185,1.3730,0.3258,1.3730,1.0597
486,0.0469,0.0694,0.6066,0.0510,0.2521,0.0510,0.1846
487,2.6643,1.4075,2.9537,2.4582,1.1385,2.4582,2.1734
488,0.5343,0.8170,1.1718,0.8200,0.8632,0.8200,0.8387
489,0.1060,1.0915,0.6116,0.0693,0.1786,0.0693,0.3654
