,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite
DE,1.000000,0.933733,0.947510,0.964948,0.943581,0.951767
SHADE,0.933733,1.000000,0.964391,0.936106,0.985093,0.970763
CMA-ES,0.947510,0.964391,1.000000,0.938826,0.976577,0.981203
NRBO,0.964948,0.936106,0.938826,1.000000,0.945626,0.945115
BOA,0.943581,0.985093,0.976577,0.945626,1.000000,0.974701
HHO-Lite,0.951767,0.970763,0.981203,0.945115,0.974701,1.000000
