,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite
DE,1.0000,0.9211,0.9015,0.9211,0.9211,0.9211
SHADE,0.9211,1.0000,0.9085,1.0000,1.0000,1.0000
CMA-ES,0.9015,0.9085,1.0000,0.9085,0.9085,0.9085
NRBO,0.9211,1.0000,0.9085,1.0000,1.0000,1.0000
BOA,0.9211,1.0000,0.9085,1.0000,1.0000,1.0000
HHO-Lite,0.9211,1.0000,0.9085,1.0000,1.0000,1.0000
