Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
47.8700,43.3745,31.5520,37.5680,44.0832,41.4985,38.3560,39.4013
3.3400,6.7628,6.1714,2.8024,8.4103,7.7735,4.6659,6.0938
2.6300,6.7628,4.6086,2.3449,2.3406,4.7819,3.5768,4.0745
55.9900,75.5691,62.1499,59.3720,70.0810,63.1313,65.5085,65.9773
65.3900,55.6469,62.8483,56.5286,60.2775,62.4713,61.5083,59.8634
49.2700,46.8959,56.7753,47.2498,48.8499,54.4252,52.1073,51.0378
51.6500,49.4523,55.7677,49.2167,52.8139,53.5922,54.8797,52.6066
43.1700,44.4448,37.4491,35.8950,51.3204,39.3968,34.6459,40.5278
11.9500,7.1554,12.8786,18.1013,8.6919,22.7933,11.5518,13.5191
39.4100,40.5062,39.4375,27.8608,39.8225,31.5309,32.1720,35.2313
3.1300,6.7628,4.7243,2.3343,6.4106,4.9737,4.0707,4.8799
2.4600,6.7628,4.4405,2.2789,3.6075,3.9947,3.4765,4.0984
57.2500,69.4543,69.4087,59.8012,71.2682,67.9312,65.4809,67.2196
66.8600,55.7249,65.1275,56.5539,58.9479,62.1835,63.8382,60.3781
38.0000,40.6527,40.1218,47.4917,44.6364,40.7553,43.9157,42.9272
48.9300,48.5070,49.1346,51.1051,55.2426,49.8023,50.0365,50.6313
40.4900,30.9401,26.8259,24.7053,35.3189,28.6378,25.7465,28.6936
12.3400,6.7628,9.9884,18.0809,5.4872,19.5714,3.5255,10.5784
12.9500,27.5339,16.6000,13.1524,23.0664,10.6350,18.4859,18.2602
3.2000,6.7628,4.4489,2.4166,4.9833,4.0693,7.2441,4.9843
2.5600,6.7628,4.4405,2.2789,2.9138,3.9947,3.4765,3.9834
57.2400,75.1380,60.4197,60.2391,73.9377,61.2965,65.4982,66.0945
74.3700,63.8970,66.3067,71.0911,66.4677,64.7130,66.3247,66.4694
62.1100,59.7872,50.7098,58.6050,58.5926,52.9690,58.4672,56.5255
63.9900,47.6448,59.4645,58.3465,49.8323,59.3861,58.1372,55.4551
39.6500,45.3826,50.8449,51.6201,47.9391,49.7382,53.0503,49.7525
46.0200,46.2388,40.4055,49.8758,44.9538,38.6407,43.0965,43.8845
54.4800,45.9042,48.9522,57.4046,41.5097,49.8964,50.2769,48.9982
11.4200,18.7880,18.3604,9.8789,29.8819,24.8466,13.1938,19.1408
3.3700,6.7628,8.2674,2.2794,1.9526,6.3253,3.4770,4.8504
59.5800,75.2786,60.3752,58.9775,72.1765,61.2256,65.5316,65.6008
75.0800,67.2404,65.9530,64.0045,70.0066,66.7856,65.5442,66.5854
69.9900,59.4674,73.2035,70.5328,64.7031,70.7425,71.9990,68.4236
66.3600,59.9930,55.8324,58.5219,60.7199,57.6670,58.1579,58.4828
59.9400,54.1713,55.4555,58.2054,48.2730,57.1621,54.0823,54.5662
48.6900,45.5486,40.5803,41.4513,44.1802,48.3704,42.6988,43.8001
59.0700,52.6726,49.8226,58.1869,48.0594,51.2158,55.4971,52.5812
56.9700,37.7421,34.7433,40.6400,44.0090,38.2298,42.6981,39.6633
3.5700,6.7628,10.0289,2.2858,4.2258,9.7982,3.4826,6.0990
52.8800,74.0994,60.3218,59.0415,67.2964,61.0671,65.3333,64.5359
65.0700,56.4898,65.2055,56.6439,58.7320,62.3470,61.4219,60.1283
52.4800,50.2959,55.5474,53.6868,52.1010,57.9099,54.9854,54.0767
51.1700,40.6777,56.0601,46.8633,43.7334,50.9506,48.0081,47.7055
40.8500,30.1197,53.2860,39.2499,35.5038,43.1033,42.4063,40.5959
12.1300,6.7628,10.6268,17.3970,9.3474,10.8293,6.1547,10.1962
3.5700,20.6543,11.0834,9.6133,19.8778,9.5323,14.8144,14.2666
3.1400,6.7628,4.7055,2.3520,6.6946,4.9765,4.4877,4.9960
2.5100,6.7628,4.4405,2.2789,-0.5634,3.9947,3.4765,3.4071
52.2700,77.0289,76.1971,71.8911,83.1446,75.7357,75.1091,76.5104
72.2100,70.5663,64.2692,71.8126,69.0020,61.6590,74.8868,68.7000
63.3300,67.8037,50.2990,53.2130,69.0731,49.7338,57.1186,57.8827
51.4700,67.8740,57.6475,64.0590,59.8868,61.8354,65.7401,62.8469
8.1000,6.7628,10.6565,15.4621,7.8049,14.9069,14.2149,11.6242
18.4500,12.4228,33.8814,37.5199,23.4913,36.3804,26.8841,28.4116
72.9200,66.1356,75.3063,71.4824,76.3390,73.3633,74.8208,72.8872
13.2000,6.7628,0.3407,2.2789,7.0117,1.3028,3.4765,3.5311
3.5600,6.7628,-5.2264,2.2789,7.0117,-4.3826,3.4765,1.6583
43.5600,63.1273,56.8882,56.0590,55.6864,58.8609,54.9526,57.6095
47.4300,55.4120,63.9261,56.0457,67.4484,61.7190,55.3243,59.9679
53.2600,51.1605,54.5153,54.9328,40.3094,54.1056,51.3900,51.0819
