Generation,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite
1,0.34436194795739605,0.640822315428858,0.6563452145254399,0.640822315428858,0.640822315428858,0.640822315428858
2,0.5109591392990804,0.7151430231258216,0.721634264512204,0.7151430231258216,0.7151430231258216,0.7151430231258216
3,0.6385368613019045,0.7151430231258216,0.721634264512204,0.7151430231258216,0.7151430231258216,0.7151430231258216
4,0.6618677380435996,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216
5,0.6618677380435996,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216
6,0.6946540579155613,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216
7,0.723226674525207,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216
8,0.723226674525207,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216
9,0.723226674525207,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216
10,0.723226674525207,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216
11,0.7256712076729355,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7151430231258216,0.7151430231258216
12,0.7256712076729355,0.7151430231258216,0.7299819537007508,0.7151430231258216,0.7385492130792505,0.7385492130792505
13,0.7256712076729355,0.7151430231258216,0.7299819537007508,0.721139453896037,0.7385492130792505,0.7385492130792505
14,0.7256712076729355,0.7151430231258216,0.7299819537007508,0.721139453896037,0.7385492130792505,0.7385492130792505
15,0.7256712076729355,0.7151430231258216,0.7302738513630089,0.7278462134787456,0.7385492130792505,0.7385492130792505
16,0.7256712076729355,0.7151430231258216,0.7302738513630089,0.7278462134787456,0.7385492130792505,0.7385492130792505
17,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7335599368887837,0.7385492130792505,0.7385492130792505
18,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7335599368887837,0.7385492130792505,0.7385492130792505
19,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505
20,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505
21,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505
22,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505
23,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505
24,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505
25,0.7256712076729355,0.7497181036167974,0.7302738513630089,0.7427735020902388,0.7385492130792505,0.7385492130792505
26,0.7256712076729355,0.7497181036167974,0.7414639870475426,0.7427735020902388,0.7385492130792505,0.7385492130792505
27,0.7256712076729355,0.7497181036167974,0.7414639870475426,0.7427735020902388,0.7418921204568161,0.7385492130792505
28,0.7256712076729355,0.7497181036167974,0.7414639870475426,0.7427735020902388,0.7418921204568161,0.7385492130792505
29,0.7260805541152967,0.7497181036167974,0.7414639870475426,0.7427735020902388,0.7418921204568161,0.7385492130792505
30,0.7260805541152967,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
31,0.7312167011945624,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
32,0.7312167011945624,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
33,0.7312167011945624,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
34,0.7312167011945624,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
35,0.7312167011945624,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
36,0.7534066886814546,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
37,0.7534066886814546,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
38,0.7534066886814546,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
39,0.7534066886814546,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
40,0.7534066886814546,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
41,0.7534066886814546,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
42,0.7534066886814546,0.7497181036167974,0.7522931897949412,0.7427735020902388,0.7418921204568161,0.7385492130792505
