Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
84,0.0003,0.0009,0.1338,0.0568,0.0765,0.0024,0.0252
85,0.0006,0.0037,0.0704,0.0303,0.0198,0.0129,0.0152
86,0.0005,0.0031,0.0505,0.0251,0.0306,0.0239,0.0030
87,0.0010,0.0012,0.0190,0.0041,0.0048,0.0136,0.0008
88,0.0020,0.0018,0.0558,0.0628,0.0175,0.0073,0.0031
89,0.0009,0.0001,0.0065,0.1275,0.0176,0.0025,0.0258
90,0.0014,0.0002,0.0404,0.1513,0.0177,0.0195,0.0255
91,0.0398,0.0161,0.0649,0.4784,0.1816,0.0665,0.1408
92,0.0017,0.0026,0.0015,0.0850,0.0227,0.0153,0.0158
93,0.0085,0.0046,0.0120,0.2469,0.0847,0.0086,0.0254
94,0.0091,0.0044,0.0075,0.0690,0.0046,0.0190,0.0149
95,0.0096,0.0045,0.0386,0.1816,0.0332,0.0010,0.0443
96,0.0017,0.0030,0.0217,0.0384,0.1224,0.0133,0.0333
97,0.0017,0.0025,0.1483,0.2562,0.0775,0.0426,0.0881
98,0.0020,0.0034,0.0037,0.0949,0.0200,0.0092,0.0107
99,0.0024,0.0018,0.1169,0.0505,0.2015,0.0269,0.0001
100,0.0023,0.0022,0.0935,0.3557,0.0510,0.0351,0.0416
101,0.0033,0.0125,0.0413,0.1644,0.0530,0.0079,0.0390
102,0.0002,0.0105,0.0602,0.0375,0.1033,0.0010,0.0314
103,0.0049,0.0018,0.0164,0.1487,0.0420,0.0104,0.0373
104,0.0098,0.0020,0.0885,0.0334,0.0832,0.0397,0.0020
105,0.0048,0.0012,0.2914,0.1915,0.0877,0.0081,0.0959
106,0.0000,0.0095,0.1088,0.0656,0.0557,0.0033,0.0405
107,0.0006,0.0029,0.0810,0.5524,0.1056,0.0030,0.1238
108,0.0018,0.0042,0.0275,0.0327,0.0102,0.0120,0.0114
109,0.0009,0.0003,0.0304,0.1234,0.0410,0.0070,0.0073
110,0.0049,0.0025,0.0387,0.2433,0.1027,0.0263,0.0687
111,0.0008,0.0017,0.0892,0.1162,0.0399,0.0029,0.0415
112,0.0013,0.0014,0.0059,0.0756,0.0278,0.0015,0.0077
113,0.0010,0.0021,0.0320,0.1581,0.0359,0.0061,0.0367
114,0.0038,0.0010,0.0070,0.1700,0.0025,0.0027,0.0298
115,0.0025,0.0015,0.1181,0.1703,0.0357,0.0164,0.0519
116,0.0055,0.0004,0.0167,0.0534,0.0461,0.0134,0.0169
117,0.0044,0.0025,0.0071,0.0921,0.0758,0.0016,0.0281
118,0.0029,0.0027,0.0393,0.1112,0.2078,0.0135,0.0571
119,0.0108,0.0010,0.0242,0.0214,0.0224,0.0508,0.0144
120,0.0054,0.0001,0.0625,0.0867,0.0254,0.0023,0.0212
121,0.0041,0.0030,0.0379,0.6081,0.1479,0.0507,0.1405
122,0.0057,0.0021,0.1062,0.2018,0.0680,0.0051,0.0405
123,0.0063,0.0029,0.0661,0.1400,0.0730,0.0016,0.0214
124,0.0001,0.0003,0.0688,0.0183,0.0130,0.0151,0.0131
125,0.0010,0.0002,0.0379,0.0120,0.0375,0.0105,0.0038
126,0.0025,0.0015,0.0788,0.0879,0.1352,0.0058,0.0493
127,0.0009,0.0038,0.0527,0.0111,0.0031,0.0105,0.0055
128,0.0018,0.0001,0.0904,0.2443,0.0654,0.0066,0.0657
129,0.0070,0.0010,0.0179,0.0435,0.0353,0.0189,0.0002
130,0.0008,0.0041,0.0264,0.3006,0.0288,0.0062,0.0500
131,0.0019,0.0003,0.0494,0.1871,0.1251,0.0050,0.0010
132,0.0006,0.0067,0.0064,0.1498,0.1037,0.0226,0.0383
133,0.0025,0.0005,0.0904,0.0724,0.0098,0.0060,0.0241
134,0.0027,0.0048,0.0302,0.1663,0.0110,0.0172,0.0249
135,0.0073,0.0049,0.1439,0.3662,0.0885,0.0208,0.1051
136,0.0023,0.0012,0.0852,0.0904,0.0756,0.0056,0.0179
137,0.0024,0.0016,0.0083,0.0099,0.0106,0.0241,0.0001
138,0.0041,0.0023,0.0774,0.1146,0.0204,0.0054,0.0275
139,0.0008,0.0005,0.0643,0.2432,0.0061,0.0032,0.0509
140,0.0002,0.0030,0.1019,0.0602,0.0119,0.0081,0.0099
141,0.0059,0.0012,0.0898,0.3744,0.0981,0.0028,0.0927
142,0.0009,0.0027,0.0711,0.1169,0.0291,0.0124,0.0250
143,0.0011,0.0005,0.0333,0.1704,0.0027,0.0055,0.0346
144,0.0010,0.0004,0.0333,0.0927,0.0207,0.0011,0.0065
145,0.0009,0.0001,0.0009,0.3394,0.0306,0.0380,0.0550
146,0.0045,0.0024,0.1173,0.2094,0.0762,0.0055,0.0650
147,0.0014,0.0025,0.1497,0.1342,0.0381,0.0539,0.0504
148,0.0001,0.0025,0.0610,0.0413,0.0513,0.0385,0.0026
149,0.0005,0.0014,0.0852,0.0137,0.0348,0.0019,0.0179
150,0.0064,0.0021,0.0295,0.3123,0.0205,0.0029,0.0611
151,0.0021,0.0041,0.0827,0.2233,0.0431,0.0026,0.0167
152,0.0064,0.0059,0.1364,0.1632,0.0209,0.0006,0.0513
153,0.0006,0.0026,0.0578,0.1224,0.0504,0.0025,0.0376
154,0.0038,0.0046,0.0184,0.0396,0.0091,0.0237,0.0034
155,0.0008,0.0066,0.0532,0.0394,0.0788,0.0159,0.0121
156,0.0015,0.0012,0.1845,0.1745,0.0494,0.0166,0.0034
157,0.0068,0.0024,0.0435,0.0550,0.0475,0.0282,0.0305
158,0.0029,0.0015,0.1052,0.2417,0.0556,0.0174,0.0706
159,0.0023,0.0007,0.0037,0.1642,0.0711,0.0319,0.0333
160,0.0071,0.0004,0.0320,0.0216,0.0179,0.0086,0.0037
161,0.0131,0.0003,0.0337,0.1910,0.0542,0.0191,0.0181
162,0.0003,0.0056,0.0429,0.0130,0.1830,0.0026,0.0238
163,0.0044,0.0020,0.0638,0.0278,0.0040,0.0006,0.0049
164,0.0042,0.0019,0.0016,0.1393,0.0165,0.0373,0.0274
165,0.0001,0.0082,0.0141,0.1364,0.0010,0.0239,0.0279
166,0.0007,0.0028,0.0068,0.2860,0.1198,0.0332,0.0600
167,0.0011,0.0028,0.0978,0.0360,0.0143,0.0138,0.0268
168,0.0048,0.0062,0.0870,0.3693,0.1489,0.0222,0.1060
169,0.0021,0.0014,0.0227,0.0250,0.0426,0.0034,0.0074
170,0.0020,0.0021,0.0265,0.0535,0.0096,0.0100,0.0101
171,0.0035,0.0058,0.0706,0.3647,0.0895,0.0095,0.0852
172,0.0002,0.0006,0.0262,0.0106,0.0118,0.0053,0.0050
173,0.0128,0.0131,0.0150,0.0380,0.0010,0.0067,0.0144
174,0.0061,0.0002,0.1004,0.1993,0.0400,0.0460,0.0653
175,0.0015,0.0022,0.0536,0.0315,0.0510,0.0098,0.0242
