,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite
DE,1.000000,0.992594,0.996367,0.995590,0.992314,0.995590
SHADE,0.992594,1.000000,0.993998,0.995567,0.998036,0.995567
CMA-ES,0.996367,0.993998,1.000000,0.995622,0.994446,0.995622
NRBO,0.995590,0.995567,0.995622,1.000000,0.995613,1.000000
BOA,0.992314,0.998036,0.994446,0.995613,1.000000,0.995613
HHO-Lite,0.995590,0.995567,0.995622,1.000000,0.995613,1.000000
