,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite
DE,1.000000,0.998979,1.000000,0.999411,0.999360,0.999405
SHADE,0.998979,1.000000,0.998975,0.999224,0.999394,0.999340
CMA-ES,1.000000,0.998975,1.000000,0.999411,0.999360,0.999405
NRBO,0.999411,0.999224,0.999411,1.000000,0.999874,0.999934
BOA,0.999360,0.999394,0.999360,0.999874,1.000000,0.999950
HHO-Lite,0.999405,0.999340,0.999405,0.999934,0.999950,1.000000
