,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite
DE,1.000000,0.999135,0.999978,0.999978,0.999944,0.999975
SHADE,0.999135,1.000000,0.999047,0.999051,0.999045,0.999043
CMA-ES,0.999978,0.999047,1.000000,1.000000,0.999951,1.000000
NRBO,0.999978,0.999051,1.000000,1.000000,0.999951,1.000000
BOA,0.999944,0.999045,0.999951,0.999951,1.000000,0.999950
HHO-Lite,0.999975,0.999043,1.000000,1.000000,0.999950,1.000000
