Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
73,9.7723,3.3514,0.5996,8.4744,6.4403,1.7375,5.0356
74,1.2482,4.4599,5.2456,3.4162,2.8011,11.5402,3.2456
75,2.6345,5.3268,0.1311,2.0561,3.7005,7.1627,2.5936
76,5.7996,8.8121,6.6567,4.9199,8.6500,6.5561,6.9057
77,5.8315,10.2263,5.4235,7.6674,14.0410,0.3719,7.2715
78,11.5592,16.3180,10.3020,3.7868,6.3715,9.5140,9.6473
79,9.4660,2.8314,0.5376,5.0703,4.4335,1.3259,3.7351
80,2.8441,1.9786,0.2851,0.2894,2.1519,0.9468,1.2164
81,14.1081,6.1599,3.3820,14.0910,7.1413,9.5185,9.0311
82,7.9174,2.5417,8.8614,5.1125,2.9187,3.8817,5.2008
83,2.8099,7.5053,2.0202,0.4201,5.1552,2.8373,1.7242
84,4.1780,4.1177,2.4333,1.1639,1.9422,3.2297,0.6546
85,2.4511,5.7209,7.2750,8.1504,3.7732,8.5241,3.2760
86,3.0377,0.9286,6.1513,3.2581,10.8433,0.3982,1.8980
87,0.9226,0.0275,11.5492,0.4125,7.8791,7.2380,4.5430
88,6.2343,1.5943,0.7957,3.2806,1.8437,0.9407,2.1617
89,3.2566,1.9805,0.1811,1.1475,1.5347,1.0165,1.4501
90,14.5591,12.1587,2.5512,14.0182,10.6812,8.2309,10.3389
91,8.9039,1.7325,10.3061,7.9121,4.6765,3.0218,6.0870
92,2.7860,2.1218,9.4917,6.6364,2.7553,5.9157,4.9641
93,5.3406,0.2046,2.1751,6.3126,0.8723,1.1065,0.9133
94,19.0538,13.6641,15.7847,5.1711,11.8522,14.7435,13.3616
95,5.3521,2.3516,5.7409,6.8528,7.2314,8.8145,1.6996
96,15.6728,3.6500,0.2024,10.1164,2.3150,5.5359,5.4262
97,3.1803,1.2489,0.7834,1.7833,0.8693,4.0441,1.7101
98,0.2713,1.8805,0.2811,0.3538,1.4347,0.9165,0.7637
99,13.6217,3.1797,2.9991,16.6977,4.0565,8.2582,8.0969
100,12.1336,8.0633,3.2789,7.9023,9.6570,8.0453,8.1544
101,5.3716,11.4002,3.5050,3.5174,9.1410,3.6428,6.1035
102,13.7855,4.5255,5.6435,14.1577,4.6039,5.8528,8.0655
103,4.9196,11.1949,11.9701,8.2891,10.0882,13.4003,9.9989
104,5.8202,5.6145,3.8558,1.0662,7.3793,2.9235,3.1362
105,12.7021,5.5278,2.9246,12.9703,4.5836,4.2031,6.1343
106,19.9931,6.9404,1.5411,18.4619,13.4266,1.7738,9.7825
107,3.6861,4.8974,1.0906,1.4174,2.9553,0.1070,1.5156
108,13.0543,0.7952,0.6025,12.5965,1.6456,5.9516,5.5252
109,11.0984,9.1270,11.0755,5.0734,8.2944,9.5358,9.0305
110,10.4538,3.2135,0.5428,5.2869,0.7525,2.0090,1.4957
111,12.5051,10.5276,7.8381,5.6401,8.6930,8.2021,8.8885
112,13.7188,4.4845,1.7346,11.6670,2.7779,5.8577,6.6679
113,6.5412,8.1097,7.2387,4.5098,0.3196,5.9912,5.4561
114,13.5725,9.2474,0.8831,11.0106,7.8542,3.5729,7.6598
115,13.2678,22.2267,16.3300,12.9610,18.7402,14.2719,16.3217
116,4.1627,6.4589,1.2842,0.6558,6.2282,0.0874,2.6828
117,14.2137,7.4418,6.1615,14.4164,8.1871,12.4533,10.4496
118,11.0447,0.1355,8.4261,6.3380,2.7230,3.6481,5.3195
119,6.8539,3.0674,1.2068,0.3790,5.4299,2.5054,0.8601
120,8.8600,4.8901,4.3067,7.4366,0.2194,3.1619,3.1515
121,2.9639,12.4360,1.6001,5.3462,2.2533,1.5563,1.0823
122,2.7593,1.5032,5.2670,2.7826,1.3007,5.9753,1.4856
123,18.6769,7.5134,6.0433,16.3078,5.9623,11.2444,10.9139
124,5.9407,1.5655,0.7880,3.5546,1.8365,1.3477,2.2224
125,2.5810,1.9305,0.2311,3.0734,1.4847,0.9665,0.6021
126,23.5008,23.9271,19.6211,30.8746,23.4657,22.8391,24.0317
127,9.3135,7.9408,0.3974,3.2080,10.5510,2.6768,4.7735
128,4.7870,13.0310,10.1170,5.7431,13.5962,6.2114,7.0238
129,5.9928,6.1775,12.5890,8.4168,10.3654,14.2701,9.6453
130,1.2643,2.5565,7.3621,0.2951,6.8069,6.1149,3.9809
131,8.9469,15.4314,19.0699,5.0413,17.9304,8.4341,9.5916
132,7.0167,2.3863,1.4376,3.4190,0.4433,1.9008,0.0258
133,3.8357,12.8593,10.9211,6.1883,11.8972,9.7235,9.2660
