Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
73,1.6219,1.7768,1.5939,1.7768,1.2604,1.7768,1.6341
74,0.3687,0.4264,0.3490,0.4264,0.4307,0.4264,0.4046
75,0.3525,0.4747,0.3161,0.4747,0.3955,0.4747,0.4146
76,0.1858,0.1202,0.3586,0.1202,0.2030,0.1202,0.1848
77,0.9437,0.0082,0.8028,0.0082,0.6322,0.0082,0.3929
78,0.2378,0.4971,0.2652,0.4971,0.0073,0.4971,0.3308
79,0.4303,0.1997,0.1078,0.1997,0.2170,0.1997,0.2257
80,0.0771,0.1643,0.1768,0.1643,0.1694,0.1643,0.0113
81,0.2049,0.1587,0.0064,0.1587,0.1702,0.1587,0.1429
82,0.1744,0.1725,0.0165,0.1725,0.1082,0.1725,0.1305
83,0.1894,0.2448,0.0230,0.2448,0.1547,0.2448,0.1835
84,0.1741,0.1393,0.0664,0.1393,0.0170,0.1393,0.0846
85,0.0689,0.1485,0.3156,0.1485,0.1691,0.1485,0.1666
86,0.0345,0.1463,0.2189,0.1463,0.1136,0.1463,0.1343
87,0.0027,0.1505,0.2477,0.1505,0.1002,0.1505,0.1328
88,0.1596,0.1393,0.0272,0.1393,0.3171,0.1393,0.1537
89,0.0969,0.3859,0.1847,0.3859,0.2731,0.3859,0.1000
90,0.0859,0.2344,0.0935,0.2344,0.0175,0.2344,0.1128
91,0.8982,0.7612,0.8634,0.7612,0.5364,0.7612,0.1758
92,0.4873,0.5778,0.3618,0.5778,0.2629,0.5778,0.1908
93,0.7831,0.4684,0.7900,0.4684,0.0675,0.4684,0.4850
94,0.5281,0.2336,0.3274,0.2336,0.0557,0.2336,0.2500
95,0.4397,0.1076,0.2690,0.1076,0.0009,0.1076,0.1717
96,0.4895,0.6213,0.3349,0.6213,0.0341,0.6213,0.4534
97,0.4275,0.6615,0.0982,0.6615,0.2723,0.6615,0.1971
98,0.4315,0.5700,0.2044,0.5700,0.3655,0.5700,0.1174
99,1.0658,0.1711,1.2189,0.1711,1.3044,0.1711,0.5138
100,0.4213,0.9984,0.6949,0.9984,0.4134,0.9984,0.7537
