,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite
DE,1.000000,0.992217,0.996367,0.995447,0.993882,0.995590
SHADE,0.992217,1.000000,0.993753,0.994541,0.994321,0.994807
CMA-ES,0.996367,0.993753,1.000000,0.994969,0.993600,0.995622
NRBO,0.995447,0.994541,0.994969,1.000000,0.995126,0.998823
BOA,0.993882,0.994321,0.993600,0.995126,1.000000,0.995380
HHO-Lite,0.995590,0.994807,0.995622,0.998823,0.995380,1.000000
