,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite
DE,1.000000,0.999969,0.999883,0.999214,0.999786,0.999983
SHADE,0.999969,1.000000,0.999921,0.999133,0.999618,0.999988
CMA-ES,0.999883,0.999921,1.000000,0.999231,0.999554,0.999914
NRBO,0.999214,0.999133,0.999231,1.000000,0.999291,0.999205
BOA,0.999786,0.999618,0.999554,0.999291,1.000000,0.999692
HHO-Lite,0.999983,0.999988,0.999914,0.999205,0.999692,1.000000
