,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite
DE,1.000000,0.999985,0.999789,0.999408,0.999973,0.999098
SHADE,0.999985,1.000000,0.999767,0.999539,0.999925,0.999117
CMA-ES,0.999789,0.999767,1.000000,0.999397,0.999795,0.999549
NRBO,0.999408,0.999539,0.999397,1.000000,0.999219,0.999253
BOA,0.999973,0.999925,0.999795,0.999219,1.000000,0.999063
HHO-Lite,0.999098,0.999117,0.999549,0.999253,0.999063,1.000000
