Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
79.7642,80.0019,79.9915,79.9848,80.2149,80.3405,80.2613,80.1327
79.7856,80.2159,80.3970,79.9277,79.9294,80.4891,79.9854,80.1580
78.0809,78.0038,78.0624,78.1075,78.2112,78.1474,78.2452,78.1295
78.9296,79.1344,79.3134,79.2172,79.0681,79.4685,79.0883,79.2155
79.0025,79.1769,79.1709,79.2018,79.1494,79.4781,79.1750,79.2257
78.6915,78.8808,78.8379,78.8487,78.9011,79.1715,78.9363,78.9297
78.9192,79.0932,79.1837,79.0267,79.0567,79.3645,79.0585,79.1309
78.6606,78.7295,78.6049,79.0531,78.6976,79.0007,78.8091,78.8161
78.5989,78.6335,78.4020,78.9062,78.6135,78.8561,78.7453,78.6929
78.5681,78.5655,78.4469,78.8933,78.5991,78.8119,78.7187,78.6727
79.0234,78.8637,78.8543,78.7886,78.8492,78.8342,78.8840,78.8456
79.0442,78.9473,78.8865,79.3699,79.4363,79.0732,79.4301,79.1902
79.0651,79.1511,79.0655,79.4599,79.3029,79.2343,79.2995,79.2521
69.2271,70.1253,69.2733,68.7056,68.9305,69.2604,68.4659,69.1272
70.4258,70.9132,70.9827,70.7777,70.5312,69.8054,69.8480,70.4758
70.2674,71.0505,70.3797,69.9371,71.0203,70.6245,70.7358,70.6244
71.2432,71.7713,71.1389,71.0742,71.3028,71.2797,71.4768,71.3404
71.5966,72.0364,71.5387,71.5124,71.4338,71.8326,71.7042,71.6765
71.5823,72.0719,71.5104,71.5267,71.8392,71.6895,72.2036,71.8064
71.7980,72.2255,72.0430,72.5128,70.5645,71.4197,71.1365,71.6504
71.9580,72.3894,72.2524,72.5544,70.8017,71.8827,71.3880,71.8785
74.6762,73.6105,73.1854,72.9401,74.3555,73.1486,74.8473,73.6797
80.2835,80.7048,80.5269,80.6333,82.2537,80.8636,81.2819,81.0434
78.0708,78.3051,77.6685,78.3600,78.4478,77.8614,78.4995,78.1896
78.3639,78.6031,78.0661,78.5899,78.6242,78.3859,78.7173,78.4974
78.0006,78.2368,77.5401,78.3071,78.4427,77.6126,78.5385,78.1119
78.8465,79.3255,78.7590,79.0476,79.1563,78.9097,79.3661,79.0935
78.8051,79.3083,78.6231,78.9371,79.2939,78.6976,79.6369,79.0819
79.0861,79.6399,79.0848,79.1817,79.6638,79.2796,79.8205,79.4445
78.5476,79.1513,78.1796,80.0176,78.5718,78.2182,78.8868,78.8366
81.3296,80.7863,80.8189,80.6964,80.5152,80.4264,80.2443,80.5812
81.1448,81.1194,80.1705,81.3837,81.2074,81.1196,81.0988,81.0164
78.2847,80.0115,79.0984,79.2170,79.6619,78.6813,79.7320,79.3990
81.6374,81.6302,81.8598,81.3848,82.3460,81.0283,82.0632,81.7176
81.0982,80.3373,80.8011,79.4079,81.5483,80.8127,81.2769,80.6972
81.6553,81.8944,81.9874,82.2609,81.5056,82.3367,81.4020,81.8987
81.6517,81.7013,81.3775,81.6909,81.5312,80.7749,81.2777,81.3914
81.9956,80.7348,81.4192,81.0355,80.7975,81.4772,80.7520,81.0369
77.2519,77.3097,77.1930,77.2168,77.3569,77.3020,77.2598,77.2730
76.2762,75.7159,76.0456,76.0215,76.1832,76.0219,76.2168,76.0341
77.3831,77.6207,77.5963,77.7819,77.2734,77.6785,77.4325,77.5642
77.7180,77.8880,77.7995,78.2108,77.8339,77.4699,77.5991,77.7998
82.1379,81.9138,82.7111,82.3823,82.0395,82.1877,82.0029,82.2065
81.9267,79.8220,80.4404,79.9117,80.0304,80.6134,79.9700,80.1322
77.0926,76.8971,76.8641,76.7883,77.2040,76.6139,77.0458,76.9017
79.0108,79.8215,79.8726,80.1173,79.6480,79.6778,79.6481,79.7975
81.7942,81.8657,82.7396,82.4688,82.1155,82.3184,82.0360,82.2577
81.9303,81.8350,82.5490,82.0945,81.9745,82.5610,81.9052,82.1540
77.2306,77.5121,77.3467,77.8221,77.3783,77.1951,77.2195,77.4121
81.6756,80.1927,80.2069,80.5703,80.2762,80.7802,80.3210,80.3918
82.2811,82.1660,82.7676,82.8003,82.2959,82.6365,82.2867,82.4926
82.0090,81.6739,82.4493,81.7981,81.8821,82.5335,81.8216,82.0274
78.4730,78.8130,79.1315,78.6890,78.5944,78.8185,78.5677,78.7693
78.0006,78.1003,77.9688,78.3386,78.0240,77.9680,77.8413,78.0402
78.3000,78.9125,78.8656,78.9000,78.6074,78.6595,78.6417,78.7644
81.6493,80.7090,81.1104,80.8802,80.8381,81.1582,80.7978,80.9161
78.7317,79.6521,79.6752,79.6352,79.6083,79.7659,79.5386,79.6461
82.3684,81.0662,80.9974,81.4333,80.8435,81.1017,80.8168,81.0434
79.0965,80.1746,80.0761,79.8296,79.8425,79.7129,79.8520,79.9144
81.8074,81.2865,81.1201,81.2727,81.2006,81.1656,81.1513,81.1994
82.0612,81.2671,81.5349,81.5135,81.5370,81.4667,81.4103,81.4550
82.3032,81.3023,81.4708,81.1646,81.4712,81.6893,81.3954,81.4160
81.6386,80.0833,80.7517,79.9574,80.4280,80.1685,80.2697,80.2764
77.3393,77.6438,77.4757,77.7907,77.1655,77.2873,77.5193,77.4801
81.9206,80.8248,80.5924,81.0343,80.6938,80.6408,80.6618,80.7412
81.6875,82.1787,81.9186,82.2189,82.3592,82.4408,82.2108,82.2214
82.0843,83.5380,83.6253,83.8037,83.9881,84.4014,83.8050,83.8610
78.2463,78.6604,78.4373,79.0392,78.2638,77.9918,78.2251,78.4358
82.8278,82.5477,82.3349,82.6863,82.2876,82.4521,82.2144,82.4206
78.3751,79.3467,78.8477,79.4587,79.0099,78.7045,79.0508,79.0692
76.4855,76.4598,76.3603,76.8782,76.4786,76.2010,76.3507,76.4545
81.6887,80.8013,80.8484,81.1080,80.9756,81.1318,80.9370,80.9673
79.0714,80.4055,80.1646,80.6339,80.3413,80.4705,80.2751,80.3820
78.8289,80.0887,79.6870,80.0692,79.7372,79.4956,79.9155,79.8317
82.0126,81.3583,81.2174,81.4602,80.9305,81.2819,81.4714,81.2866
82.0612,82.4001,82.3235,82.6247,82.0503,82.3522,82.3824,82.3555
81.5446,80.4469,80.3694,80.4602,80.5002,80.3459,80.3718,80.4156
81.8555,81.3200,81.2127,81.4587,81.1920,81.2837,81.1310,81.2664
74.8216,74.4750,74.8425,74.6070,74.5095,74.9611,74.9010,74.7164
81.9762,81.9143,82.2706,82.2999,81.6272,81.9088,81.9920,82.0021
80.6042,80.5636,80.4572,80.3913,81.0925,80.5404,80.8844,80.6546
81.4144,81.7613,81.5156,80.9883,81.5380,81.8544,81.2730,81.4890
81.8916,80.7558,80.7509,81.0001,80.6556,80.6475,80.4644,80.7124
77.3879,77.8667,77.8707,77.8894,77.6322,77.4134,77.5342,77.7008
77.5053,78.2115,77.9218,78.3711,77.7810,77.9679,78.3520,78.1006
81.1098,81.2816,81.6596,81.3730,81.5732,81.2555,81.7049,81.4743
81.3908,80.3763,80.3552,80.4209,80.4606,80.3174,80.3200,80.3750
80.6496,81.2350,80.8805,80.4312,82.6044,80.9290,81.9575,81.3384
78.1513,79.1473,78.8588,78.9830,79.4037,78.8116,79.6106,79.1351
81.4026,80.8118,80.9218,80.9006,80.8238,80.7479,81.0203,80.8708
78.2523,79.3007,79.1850,79.3887,79.1847,79.1307,79.4898,79.2796
80.8325,80.4514,80.4051,80.3434,80.8084,80.3710,80.5002,80.4797
80.8096,80.6180,80.6082,80.5452,81.2534,80.5296,80.9263,80.7463
78.0407,78.9713,78.7563,78.9968,78.8232,78.7455,78.7764,78.8448
80.8670,80.8043,80.8335,80.7915,80.9552,80.7859,81.0895,80.8764
81.5090,80.9356,81.2945,81.0594,81.2907,80.8794,81.1083,81.0944
81.3673,80.1227,80.1348,80.1978,80.1838,80.0253,80.0629,80.1211
78.7637,80.0382,79.8860,80.1454,79.7504,79.9210,79.8488,79.9317
81.0054,80.3578,80.4772,80.3827,80.6378,80.3163,80.6759,80.4743
80.8670,80.6952,80.9979,80.7428,81.1053,80.6835,81.0504,80.8789
78.4760,79.5547,79.6614,79.5932,79.7858,79.4198,79.5067,79.5867
81.2616,81.1053,81.3215,81.2735,81.3976,81.1167,81.1796,81.2322
81.2733,81.5242,81.7547,81.6532,81.8371,81.6187,81.6590,81.6744
77.0974,77.4856,77.2522,77.6435,77.5180,77.0619,77.5593,77.4195
78.6195,79.8044,79.9368,79.8883,80.0825,79.7561,79.9287,79.8993
81.6160,81.7533,81.8098,81.9559,82.0243,81.7475,81.6994,81.8316
81.3438,81.6523,81.4964,81.8302,81.7716,81.6545,81.4702,81.6459
81.6041,80.9674,81.0297,81.1238,80.8712,80.9350,80.9379,80.9775
81.6637,80.5252,80.3731,80.6347,80.2997,80.4541,80.2653,80.4255
74.0386,73.8424,74.4045,73.3961,73.8740,74.1223,74.3724,74.0020
73.7118,73.4228,73.8290,73.0449,73.4400,73.5583,73.8428,73.5229
76.9535,77.2247,76.6630,77.1504,77.2578,76.5848,77.2027,77.0131
72.0165,71.6662,72.1460,70.9001,71.9645,72.5834,72.2367,71.9169
75.2125,74.6814,75.0240,74.5357,75.5313,75.3803,75.7281,75.1468
64.6226,67.3515,65.6057,65.9238,65.2155,64.4443,64.8334,65.5610
73.6391,73.3739,73.6576,72.8984,73.5003,73.5825,73.8182,73.4718
71.9506,71.4340,72.2245,71.8369,71.6368,71.8883,71.6493,71.7787
74.3461,73.9524,74.5558,74.2513,74.5789,74.5202,74.1686,74.3383
75.5132,75.3582,75.1572,75.0292,75.4222,75.0821,75.6341,75.2800
76.6498,76.7081,76.3933,76.5238,77.1958,76.1547,77.1133,76.6804
77.2393,77.1240,76.9584,77.3269,77.2881,76.9936,77.1656,77.1425
73.2248,72.7469,73.3616,72.7801,72.9570,73.3398,73.2522,73.0733
71.8705,71.3604,71.8530,70.6736,71.8158,72.3070,72.0290,71.6738
69.1051,69.2017,68.8578,68.2429,69.3911,68.8824,68.5884,68.8607
71.2153,70.7890,70.9386,70.8065,71.2425,71.1274,71.3348,71.0398
72.9747,72.5132,72.7648,72.8049,72.9114,72.8322,73.0018,72.8047
73.4204,72.9464,73.2689,73.2055,73.0998,73.3493,73.1665,73.1730
78.5558,79.5309,79.3215,79.6568,79.1099,79.1696,79.1339,79.3203
73.3117,72.6816,73.1733,73.0119,72.8959,73.0307,73.3013,73.0158
72.9824,72.4432,72.8719,72.7249,72.7339,72.7342,72.8230,72.7219
77.3685,78.1998,77.6649,78.1355,77.9645,77.9982,78.1717,78.0222
78.2220,78.7863,78.4274,79.1782,78.4273,78.8156,78.5510,78.6979
70.5926,70.1246,70.4119,70.0485,69.2001,70.7920,69.4560,70.0070
72.5303,71.9917,72.4623,72.0433,72.5597,72.2989,72.5496,72.3175
74.6589,74.5462,74.7151,74.6841,74.7639,74.7522,74.7494,74.7019
75.3181,75.2381,75.2514,75.4227,75.2520,75.2373,75.3964,75.2995
76.9918,77.3202,76.8682,77.3857,77.0322,76.8266,77.1390,77.0949
76.0735,75.7648,75.8223,75.9249,76.0000,76.3482,76.0564,75.9866
68.2216,68.8094,68.6136,68.9674,68.2049,67.8326,68.5557,68.4964
71.9360,71.3803,71.9939,71.6669,71.9006,71.6547,72.0351,71.7717
73.8908,73.3642,73.8090,73.8748,73.9841,73.8462,74.1215,73.8332
74.6504,74.1855,74.5816,74.6465,74.4288,74.4796,74.3929,74.4526
76.1838,76.2360,75.9407,76.4431,76.0921,76.1207,76.2153,76.1745
68.9540,69.0860,68.6983,68.9516,69.1488,67.8737,69.2405,68.8315
76.9058,77.4989,76.5961,77.3664,77.0670,76.8175,77.1016,77.0741
72.5455,72.2804,72.6230,72.5741,72.2551,72.9884,72.0930,72.4700
75.0204,75.2357,74.8085,75.2902,75.1164,75.2745,74.6369,75.0608
73.2643,73.4084,73.0597,73.4336,72.8185,73.6027,72.7105,73.1730
73.0291,72.6816,73.2611,73.0684,73.4036,73.0486,73.0769,73.0901
75.1424,75.4257,75.0845,74.9832,75.1572,75.4200,75.7403,75.3017
75.1424,74.9007,75.0102,75.2154,74.9714,75.1354,74.9637,75.0330
77.4231,77.4637,77.7837,77.6195,78.4084,77.5198,78.0678,77.8099
77.6784,78.2631,77.7418,77.8240,78.1829,77.3655,78.0322,77.9006
73.3038,73.1705,73.6625,73.2478,73.0714,73.3239,73.3680,73.3075
73.5973,73.1414,73.6142,73.4104,73.3850,73.2603,73.6472,73.4095
74.4892,74.6487,74.4642,74.4715,73.4682,74.6174,74.2258,74.3165
74.5399,74.2862,74.4285,74.6532,74.2396,74.7049,74.3361,74.4419
76.8819,77.5533,76.7258,76.6266,76.9649,77.1410,77.7681,77.1295
76.0369,76.3161,75.5997,76.5649,76.2310,75.9353,75.8352,76.0801
75.8122,76.2281,75.6656,75.6516,76.1774,75.9523,76.4624,76.0224
75.2239,75.4819,74.8106,75.5766,75.2384,75.2977,74.9745,75.2301
75.6733,75.8744,75.5307,75.4986,75.8593,75.7062,76.4088,75.8125
75.1914,75.0155,74.9379,75.2782,74.9781,75.2294,75.2211,75.1102
75.9001,75.4811,76.1821,75.5401,75.5254,75.9941,76.2965,75.8367
75.8457,76.1492,75.4903,76.0501,76.0675,75.6346,76.2479,75.9392
72.8833,72.6981,73.3724,72.8509,72.7505,73.1425,72.8458,72.9439
73.2579,72.9069,73.0954,73.0256,73.0983,73.3994,73.3185,73.1410
73.0993,73.2260,73.3329,73.2225,72.7504,73.4115,72.6097,73.0929
72.5909,72.0229,72.7326,72.4250,72.8460,72.5927,73.0463,72.6108
72.9801,73.1652,72.8821,73.3582,73.1769,73.1277,71.9779,72.9486
72.8625,72.4708,73.1208,72.9430,73.3481,72.8391,72.9857,72.9511
73.9752,74.3444,73.8934,74.1664,74.1809,74.1311,73.7417,74.0765
74.0493,73.6880,74.1199,74.1003,74.6644,74.0644,74.3184,74.1590
72.6137,72.7304,72.7799,72.8046,72.8564,72.6515,72.3049,72.6881
72.3199,71.9106,72.5080,72.1888,73.1643,72.0738,73.4274,72.5444
71.2712,70.9953,71.8958,71.1793,71.9232,71.4887,71.6978,71.5300
71.2362,70.8125,71.2288,70.6943,71.0945,71.2901,70.8343,70.9929
71.3907,71.4518,71.5392,71.6471,70.7891,71.0804,71.0682,71.2626
71.4472,70.8226,71.3174,71.0647,70.6046,71.0746,70.5107,70.8997
68.5404,68.9229,68.1753,68.5535,69.3069,69.0321,68.5491,68.7569
73.8337,73.9491,74.0239,73.8033,73.9427,74.0476,74.0951,73.9770
75.4331,75.8654,75.6407,75.4869,75.2107,75.5851,75.3152,75.5175
75.3888,75.3975,75.4733,75.2826,75.1060,75.3264,75.6085,75.3656
74.5823,74.3078,74.7410,74.1977,74.3801,74.6909,74.7285,74.5079
70.6801,70.3622,70.4846,70.4831,71.2178,70.3463,70.8936,70.6307
73.9399,73.6725,74.1368,73.8927,74.1444,73.9522,74.1063,73.9841
75.1336,75.3290,74.9751,75.1562,75.0267,75.3164,75.5841,75.2312
76.8581,77.5147,77.2186,77.3078,77.0366,77.4902,77.1118,77.2803
73.8663,73.3889,74.0476,73.3423,73.5804,73.9600,73.9449,73.7110
71.8125,71.2937,71.6491,71.3324,71.7779,71.7499,71.4738,71.5465
75.1511,74.9550,75.1589,75.3143,74.7623,74.9890,75.4768,75.1091
76.0919,76.8389,76.0162,76.6579,76.5674,76.3120,76.3309,76.4536
75.7463,75.9336,75.7205,75.8670,75.5789,75.8766,75.9473,75.8206
81.6398,80.4733,80.4804,80.3526,80.6099,80.3169,80.4619,80.4489
74.2875,74.8323,73.9165,74.6741,73.0314,74.4634,73.8571,74.1297
74.8818,74.6929,74.9892,74.8509,74.2941,74.9728,74.8420,74.7740
73.8092,73.3342,73.8992,73.6808,73.3277,73.8287,73.6514,73.6207
75.0204,74.8093,74.9698,74.9246,74.6236,74.9997,74.9147,74.8738
76.2115,76.1753,76.6259,76.1446,76.5803,76.0940,76.5486,76.3611
70.3398,69.9707,70.5017,70.9110,70.3256,70.2557,70.8771,70.4733
77.4857,77.9112,77.8154,78.0573,77.4414,77.5203,77.4464,77.6986
75.0464,74.7095,75.0379,74.8646,74.8949,75.1233,75.0427,74.9457
71.9726,71.4600,71.9801,71.7007,71.8681,71.8205,71.9375,71.7945
75.5399,75.6886,75.4599,75.6164,75.3288,75.6340,75.6630,75.5651
76.2207,76.2782,76.1991,76.4372,75.9071,76.1758,76.0911,76.1815
76.8391,76.9944,77.1939,77.0965,77.0310,76.7967,76.8910,77.0004
75.7643,75.5205,75.9330,75.4975,75.7718,75.8170,75.8737,75.7357
75.1249,75.0923,75.0516,74.9549,75.1152,75.2221,75.2477,75.1140
76.3690,77.0202,76.3834,76.7600,76.5367,76.4589,76.6746,76.6386
76.5839,76.9407,76.8594,76.8288,76.9211,76.6157,76.8758,76.8399
76.3783,76.7489,76.4729,76.6124,76.5263,76.4351,76.5888,76.5638
73.8990,73.6208,73.9846,73.6345,73.6185,74.0282,73.9882,73.8127
73.7524,73.9818,73.1765,73.5147,74.2127,74.0662,74.4045,73.8925
68.8641,70.3209,68.8091,68.4339,69.3912,69.7023,69.5161,69.3623
76.1654,76.1389,76.4094,75.9148,75.8529,76.2443,76.3600,76.1535
77.1070,77.3219,77.3395,77.4783,77.3976,77.3688,77.3857,77.3820
83.8185,82.9942,84.0791,83.6932,84.7503,83.6886,83.1014,83.7181
76.1654,75.9198,76.4187,75.9350,76.6550,76.8176,76.8609,76.4348
72.6294,75.0850,72.2844,73.5185,73.7257,73.6126,73.1669,73.5652
77.3198,77.0168,77.5619,77.2843,76.9589,77.4105,77.2586,77.2489
74.9529,76.8109,75.3100,75.8620,75.7787,75.1016,75.9857,75.8068
77.5543,79.6626,77.0207,77.3237,78.0731,80.7735,76.9626,78.3061
72.9514,73.3084,73.0941,72.4003,73.0308,73.2806,72.9131,73.0049
77.4955,77.0718,77.5228,77.8496,77.8402,77.1218,77.7800,77.5304
70.2655,70.0332,69.8007,69.3024,69.8016,66.7194,68.7194,69.0597
69.0144,70.9226,68.3813,70.4771,68.6861,70.7057,69.1655,69.7243
86.6877,87.3376,85.8102,87.1801,85.7300,87.5347,86.3952,86.6658
77.1070,76.9407,76.8439,76.9631,77.3765,77.4010,77.1231,77.1084
78.6400,82.9601,81.8895,83.1545,80.1818,80.7035,81.7309,81.7687
84.7415,86.2021,85.9515,86.1494,84.9435,84.2600,85.1001,85.4331
72.8278,73.2452,72.4935,72.6237,72.5066,73.3710,72.1789,72.7375
74.7443,75.1195,74.8229,74.8106,73.6985,74.9057,74.6409,74.6668
71.3273,72.9356,70.9863,72.0823,71.5572,71.5453,71.7783,71.8135
75.7148,77.1999,76.2702,77.2563,76.3820,76.7302,76.0347,76.6458
83.3544,80.9959,83.2790,83.2664,82.1505,82.8336,82.6240,82.5258
73.7443,73.7995,73.2776,73.7888,73.9898,74.0013,73.7252,73.7639
74.0716,74.1681,73.9036,74.0376,74.2826,74.1334,73.9584,74.0807
84.5121,84.8158,83.8242,84.0316,85.1355,84.7676,84.8243,84.5663
83.3544,84.1775,83.7067,84.4031,83.0624,83.0293,83.1425,83.5864
81.9884,82.1989,82.0480,82.1693,82.5938,82.4014,82.7366,82.3578
77.3198,77.3475,77.4507,76.7189,78.0100,77.9097,77.7066,77.5242
74.0933,73.9898,73.1192,73.2046,73.9299,74.1021,74.3239,73.7782
78.8230,79.1144,79.6209,77.9657,78.9532,78.8501,79.2048,78.9513
83.4936,84.7641,84.2911,84.2996,83.8984,84.1770,83.9049,84.2226
