Generation,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,Bayesian
1,0.9350115665233045,0.8321286766578615,0.9558139777619548,0.8321286766578615,0.8321286766578615,0.8321286766578615,0.9339915370059426
2,0.9350115665233045,0.9356087232323242,0.9558139777619548,0.9356087232323242,0.9356087232323242,0.9356087232323242,0.9558904620835258
3,0.9350115665233045,0.9356087232323242,0.9558139777619548,0.9356087232323242,0.9356087232323242,0.9356087232323242,0.9558904620835258
4,0.9350115665233045,0.9356087232323242,0.9558139777619548,0.9356087232323242,0.9356087232323242,0.9356087232323242,0.9558904620835258
5,0.9350115665233045,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
6,0.9350115665233045,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
7,0.9350115665233045,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
8,0.9350115665233045,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
9,0.9350115665233045,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
10,0.9350115665233045,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
11,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
12,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
13,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
14,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
15,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
16,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
17,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
18,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
19,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
20,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
21,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
22,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
23,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
24,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
25,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
26,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
27,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
28,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
29,0.956380411441751,0.9546468136470199,0.9558139777619548,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
30,0.956380411441751,0.9546468136470199,0.9576271681564966,0.9546468136470199,0.9546468136470199,0.9546468136470199,0.9558904620835258
