Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred,IsDifficult
79.0338,79.4025,79.4602,79.3828,79.4602,79.4645,79.4602,79.4384,False
78.8258,79.1783,79.3005,79.1418,79.3005,79.2213,79.3005,79.2404,False
78.8880,79.0738,79.0083,79.2466,79.0083,79.0910,79.0083,79.0728,False
76.7632,75.8195,76.7714,75.9604,76.7714,76.1310,76.7714,76.3703,False
79.7642,80.0019,80.2613,80.0293,80.2613,79.7568,80.2613,80.0950,False
79.7856,80.2159,79.9854,79.8934,79.9854,80.0026,79.9854,80.0113,False
78.0809,78.0038,78.2452,77.9041,78.2452,77.9115,78.2452,78.0922,False
78.9296,79.1344,79.0883,78.9360,79.0883,79.0998,79.0883,79.0725,False
79.0025,79.1769,79.1750,78.9860,79.1750,79.1107,79.1750,79.1330,False
78.6915,78.8808,78.9363,78.7145,78.9363,78.8462,78.9363,78.8750,False
78.9192,79.0932,79.0585,78.8528,79.0585,78.9022,79.0585,79.0038,False
78.6606,78.7295,78.8091,78.9762,78.8091,78.8297,78.8091,78.8272,False
78.5989,78.6335,78.7453,78.8178,78.7453,78.7125,78.7453,78.7333,False
78.5681,78.5655,78.7187,78.8159,78.7187,78.6684,78.7187,78.7009,False
79.0234,78.8637,78.8840,78.9961,78.8840,78.7063,78.8840,78.8696,False
79.0442,78.9473,79.4301,78.8596,79.4301,78.7712,79.4301,79.1442,False
79.0651,79.1511,79.2995,78.9717,79.2995,79.0476,79.2995,79.1779,False
69.2271,70.1253,68.4659,70.0905,68.4659,68.6907,68.4659,69.0513,False
70.4258,70.9132,69.8480,70.7876,69.8480,70.1629,69.8480,70.2351,False
70.2674,71.0505,70.7358,71.0573,70.7358,70.1999,70.7358,70.7523,False
71.2432,71.7713,71.4768,71.5706,71.4768,71.1875,71.4768,71.4932,False
71.5966,72.0364,71.7042,71.8656,71.7042,71.5957,71.7042,71.7684,False
71.5823,72.0719,72.2036,71.9173,72.2036,71.6164,72.2036,72.0357,False
71.7980,72.2255,71.1365,71.8962,71.1365,72.0703,71.1365,71.6009,False
71.9580,72.3894,71.3880,72.1623,71.3880,72.3235,71.3880,71.8406,False
74.6762,73.6105,74.8473,73.4574,74.8473,73.3718,74.8473,74.1625,False
80.2835,80.7048,81.2819,80.9784,81.2819,80.6970,81.2819,81.0373,False
78.0708,78.3051,78.4995,77.6245,78.4995,77.9863,78.4995,78.2352,False
78.3639,78.6031,78.7173,78.0513,78.7173,78.1942,78.7173,78.4997,False
78.0006,78.2368,78.5385,77.5711,78.5385,77.9417,78.5385,78.2270,False
78.8465,79.3255,79.3661,78.7253,79.3661,78.6872,79.3661,79.1389,False
78.8051,79.3083,79.6369,78.7794,79.6369,78.6483,79.6369,79.2737,False
79.0861,79.6399,79.8205,79.0780,79.8205,78.9886,79.8205,79.5274,False
78.5476,79.1513,78.8868,78.1884,78.8868,77.8777,78.8868,78.6456,False
81.3296,80.7863,80.2443,80.4350,80.2443,80.6875,80.2443,80.4406,False
81.1448,81.1194,81.0988,80.2864,81.0988,81.3957,81.0988,81.0162,False
78.2847,80.0115,79.7320,79.1825,79.7320,78.7096,79.7320,79.5160,False
81.6374,81.6302,82.0632,81.5493,82.0632,81.7550,82.0632,81.8537,False
81.0982,80.3373,81.2769,80.3672,81.2769,80.6570,81.2769,80.8648,False
81.6553,81.8944,81.4020,81.7806,81.4020,82.4332,81.4020,81.7197,False
81.6517,81.7013,81.2777,81.7200,81.2777,81.6555,81.2777,81.4853,False
81.9956,80.7348,80.7520,80.4406,80.7520,81.1527,80.7520,80.7641,False
77.2519,77.3097,77.2598,77.3346,77.2598,77.3449,77.2598,77.2948,False
76.2762,75.7159,76.2168,76.4039,76.2168,75.9459,76.2168,76.1193,False
77.3831,77.6207,77.4325,78.0042,77.4325,77.4393,77.4325,77.5604,False
77.7180,77.8880,77.5991,77.9499,77.5991,78.1028,77.5991,77.7900,False
82.1379,81.9138,82.0029,81.6667,82.0029,82.1482,82.0029,81.9562,False
81.9267,79.8220,79.9700,79.7201,79.9700,80.2722,79.9700,79.9541,True
77.0926,76.8971,77.0458,76.8669,77.0458,77.0851,77.0458,76.9977,False
79.0108,79.8215,79.6481,79.7661,79.6481,79.8570,79.6481,79.7316,False
81.7942,81.8657,82.0360,81.7180,82.0360,82.2748,82.0360,81.9944,False
81.9303,81.8350,81.9052,81.9102,81.9052,82.4390,81.9052,81.9835,False
77.2306,77.5121,77.2195,77.5398,77.2195,77.4021,77.2195,77.3522,False
81.6756,80.1927,80.3210,80.1707,80.3210,80.1503,80.3210,80.2460,False
82.2811,82.1660,82.2867,82.0856,82.2867,82.3327,82.2867,82.2407,False
82.0090,81.6739,81.8216,81.7609,81.8216,82.1278,81.8216,81.8381,False
78.4730,78.8130,78.5677,78.7870,78.5677,78.8730,78.5677,78.6962,False
78.0006,78.1003,77.8413,77.9318,77.8413,77.9487,77.8413,77.9176,False
78.3000,78.9125,78.6417,78.7591,78.6417,78.8356,78.6417,78.7389,False
81.6493,80.7090,80.7978,80.7528,80.7978,80.8930,80.7978,80.7914,False
78.7317,79.6521,79.5386,79.5122,79.5386,79.5824,79.5386,79.5604,False
82.3684,81.0662,80.8168,81.0638,80.8168,80.7140,80.8168,80.8824,False
79.0965,80.1746,79.8520,80.1337,79.8520,79.9479,79.8520,79.9688,False
81.8074,81.2865,81.1513,81.2466,81.1513,81.1311,81.1513,81.1864,False
82.0612,81.2671,81.4103,81.3929,81.4103,81.2744,81.4103,81.3608,False
82.3032,81.3023,81.3954,81.4294,81.3954,81.2318,81.3954,81.3582,False
81.6386,80.0833,80.2697,80.0127,80.2697,80.3326,80.2697,80.2062,False
77.3393,77.6438,77.5193,77.7386,77.5193,77.4204,77.5193,77.5601,False
81.9206,80.8248,80.6618,80.8522,80.6618,80.5071,80.6618,80.6949,False
81.6875,82.1787,82.2108,82.2209,82.2108,82.1175,82.2108,82.1915,False
82.0843,83.5380,83.8050,83.7904,83.8050,84.0585,83.8050,83.8004,False
78.2463,78.6604,78.2251,78.6984,78.2251,78.5001,78.2251,78.4227,False
82.8278,82.5477,82.2144,82.6676,82.2144,82.5112,82.2144,82.3952,False
78.3751,79.3467,79.0508,79.2884,79.0508,78.8635,79.0508,79.1085,False
76.4855,76.4598,76.3507,76.5247,76.3507,76.6002,76.3507,76.4397,False
81.6887,80.8013,80.9370,80.8763,80.9370,80.6126,80.9370,80.8500,False
79.0714,80.4055,80.2751,80.3368,80.2751,80.0698,80.2751,80.2728,False
78.8289,80.0887,79.9155,79.9925,79.9155,79.6508,79.9155,79.9130,False
82.0126,81.3583,81.4714,81.2920,81.4714,81.0780,81.4714,81.3568,False
82.0612,82.4001,82.3824,82.3566,82.3824,82.3869,82.3824,82.3818,False
81.5446,80.4469,80.3718,80.4515,80.3718,80.3823,80.3718,80.3994,False
81.8555,81.3200,81.1310,81.3739,81.1310,81.2812,81.1310,81.2282,False
74.8216,74.4750,74.9010,74.6382,74.9010,74.7263,74.9010,74.7569,False
81.9762,81.9143,81.9920,82.0561,81.9920,82.0369,81.9920,81.9972,False
80.6042,80.5636,80.8844,80.4470,80.8844,80.6727,80.8844,80.7225,False
81.4144,81.7613,81.2730,81.0174,81.2730,80.9400,81.2730,81.2560,False
81.8916,80.7558,80.4644,80.9333,80.4644,80.7414,80.4644,80.6376,False
77.3879,77.8667,77.5342,77.8266,77.5342,77.5532,77.5342,77.6416,False
77.5053,78.2115,78.3520,78.1726,78.3520,77.8928,78.3520,78.2219,False
81.1098,81.2816,81.7049,81.3259,81.7049,81.4797,81.7049,81.5334,False
81.3908,80.3763,80.3200,80.3943,80.3200,80.3440,80.3200,80.3458,False
80.6496,81.2350,81.9575,81.1386,81.9575,81.9050,81.9575,81.6916,False
78.1513,79.1473,79.6106,79.2411,79.6106,78.9755,79.6106,79.3655,False
81.4026,80.8118,81.0203,80.8280,81.0203,80.7731,81.0203,80.9121,False
78.2523,79.3007,79.4898,79.3056,79.4898,79.1408,79.4898,79.3692,False
80.8325,80.4514,80.5002,80.3794,80.5002,80.5082,80.5002,80.4733,False
80.8096,80.6180,80.9263,80.5036,80.9263,80.8032,80.9263,80.7837,False
78.0407,78.9713,78.7764,78.9418,78.7764,78.7957,78.7764,78.8397,False
80.8670,80.8043,81.0895,80.7084,81.0895,80.6992,81.0895,80.9131,False
81.5090,80.9356,81.1083,81.1075,81.1083,81.2926,81.1083,81.1102,False
81.3673,80.1227,80.0629,80.1460,80.0629,80.0595,80.0629,80.0862,False
78.7637,80.0382,79.8488,80.0262,79.8488,79.7908,79.8488,79.9003,False
81.0054,80.3578,80.6759,80.3812,80.6759,80.4328,80.6759,80.5330,False
80.8670,80.6952,81.0504,80.7469,81.0504,80.9217,81.0504,80.9190,False
78.4760,79.5547,79.5067,79.5949,79.5067,79.5532,79.5067,79.5372,False
81.2616,81.1053,81.1796,81.2254,81.1796,81.4512,81.1796,81.2202,False
