Alkalinity,Ammonia,BOD,Chloride,Conductivity,DO,Phosphate,pH,Temp,Hardness,Colour,CCME_Values
16.000000,0.037000,2.000000,5.740000,54.000000,47.450000,0.019000,6.870000,13.400000,15.200000,36.000000,79.571755
11.000000,0.024000,1.200000,7.860000,64.000000,46.950000,0.019000,6.940000,7.400000,15.000000,34.000000,79.850094
10.000000,0.049000,1.200000,7.630000,64.000000,45.100000,0.019000,7.170000,7.600000,14.000000,32.000000,80.425723
9.000000,0.027000,1.100000,7.780000,62.000000,45.950000,0.019000,7.050000,7.100000,14.200000,32.000000,80.239907
15.000000,0.066000,1.200000,5.390000,49.000000,63.800000,0.019000,6.980000,20.300000,13.700000,44.000000,75.728226
15.000000,0.079000,1.200000,5.610000,51.000000,63.400000,0.019000,6.950000,18.600000,14.600000,39.000000,76.165409
13.000000,0.068000,1.200000,5.440000,49.000000,62.250000,0.019000,7.010000,19.900000,13.400000,42.000000,76.156204
16.000000,0.033000,2.400000,5.660000,59.000000,57.400000,0.007000,7.360000,18.900000,17.200000,29.000000,78.090945
14.000000,0.033000,3.400000,5.150000,51.000000,59.600000,0.019000,7.230000,17.500000,14.500000,39.000000,76.877176
17.000000,0.033000,3.500000,5.040000,53.000000,59.550000,0.019000,7.040000,19.200000,15.400000,37.000000,77.039711
15.000000,0.044000,2.300000,7.280000,70.000000,49.450000,0.019000,7.150000,12.800000,17.400000,29.000000,79.742719
12.000000,0.042000,1.400000,6.980000,62.000000,48.850000,0.019000,6.990000,12.600000,14.100000,27.000000,80.044368
14.000000,0.040000,2.300000,7.000000,66.000000,49.350000,0.019000,7.150000,13.000000,15.900000,28.000000,79.850094
12.000000,0.033000,1.200000,7.440000,55.000000,54.850000,0.009000,7.020000,4.900000,14.000000,30.000000,78.527161
9.000000,0.020000,1.200000,7.400000,54.000000,54.550000,0.011000,6.870000,4.800000,13.500000,31.000000,78.506698
11.000000,0.030000,1.200000,7.390000,55.000000,54.950000,0.012000,6.670000,4.900000,13.900000,33.000000,78.262462
8.000000,0.028000,1.200000,12.500000,72.000000,52.700000,0.019000,6.830000,7.800000,17.500000,22.000000,79.646425
10.000000,0.024000,1.200000,11.400000,68.000000,52.700000,0.019000,6.780000,7.800000,16.500000,22.000000,79.646425
9.000000,0.025000,1.200000,11.500000,69.000000,52.950000,0.019000,6.760000,8.000000,16.900000,22.000000,79.593069
12.000000,0.034000,1.200000,10.100000,74.000000,56.800000,0.019000,7.080000,9.800000,17.700000,19.000000,81.532753
12.000000,0.033000,1.200000,9.680000,73.000000,57.900000,0.019000,7.060000,9.700000,17.000000,16.000000,81.273307
12.000000,0.033000,1.200000,10.200000,71.000000,56.200000,0.019000,7.010000,9.800000,16.500000,17.000000,81.675599
18.000000,0.033000,1.300000,9.370000,67.000000,54.000000,0.019000,7.000000,12.100000,15.800000,26.000000,79.033798
17.000000,0.033000,1.200000,8.690000,61.000000,54.600000,0.019000,6.990000,12.300000,14.200000,27.000000,78.825786
